azh_split,index,Locations,Labels
Train,V\1_0,67,5
Train,V\3_0,70,5
Train,V\4_0,82,5
Train,V\5_0,46,5
Train,V\5_1,46,5
Train,V\6_0,47,5
Train,V\6_1,47,5
Train,V\6_2,47,5
Train,V\6_3,47,5
Train,V\8_0,47,5
Train,V\8_1,47,5
Train,V\9_0,447,5
Train,V\13_0,46,5
Train,V\14_0,47,5
Train,V\15_0,46,5
Train,V\16_0,480,5
Train,V\18_0,82,5
Train,V\19_0,483,5
Train,V\20_0,370,5
Train,V\21_0,81,5
Train,V\22_0,479,5
Train,V\23_0,46,5
Train,V\23_1,46,5
Train,V\24_0,370,5
Train,V\26_0,367,5
Train,V\27_0,369,5
Train,V\29_0,480,5
Train,V\30_0,480,5
Train,V\30_1,371,5
Train,V\31_0,370,5
Train,V\32_0,80,5
Train,V\33_0,47,5
Train,V\34_0,47,5
Train,V\35_0,425,5
Train,V\36_0,448,5
Train,V\38_0,46,5
Train,V\38_1,451,5
Train,V\39_0,47,5
Train,V\39_1,47,5
Train,V\40_0,81,5
Train,V\40_1,81,5
Train,V\40_2,81,5
Train,V\40_3,81,5
Train,V\40_4,81,5
Train,V\40_5,81,5
Train,V\40_6,81,5
Train,V\40_7,81,5
Train,V\41_0,423,5
Train,V\41_1,423,5
Train,V\41_2,420,5
Train,V\43_0,423,5
Train,V\44_0,423,5
Train,V\45_0,367,5
Train,V\46_0,273,5
Train,V\46_1,271,5
Train,V\46_2,272,5
Train,V\46_3,268,5
Train,V\48_0,423,5
Train,V\49_0,370,5
Train,V\50_0,82,5
Train,V\52_0,82,5
Train,V\52_1,82,5
Train,V\54_0,46,5
Train,V\54_1,247,5
Train,V\55_0,46,5
Train,V\57_0,254,5
Train,V\58_0,47,5
Train,V\59_0,452,5
Train,V\60_0,454,5
Train,V\60_1,450,5
Train,V\62_0,47,5
Train,V\63_0,372,5
Train,V\63_1,370,5
Train,V\64_0,47,5
Train,V\64_1,421,5
Train,V\65_0,46,5
Train,V\66_0,81,5
Train,V\68_0,82,5
Train,V\68_1,82,5
Train,V\69_0,477,5
Train,V\70_0,477,5
Train,V\71_0,82,5
Train,V\72_0,421,5
Train,V\73_0,451,5
Train,V\74_0,45,5
Train,V\76_0,477,5
Train,V\77_0,308,5
Train,V\79_0,82,5
Train,V\80_0,46,5
Train,V\82_0,82,5
Train,V\83_0,46,5
Train,V\84_0,47,5
Train,V\85_0,81,5
Train,V\86_0,448,5
Train,V\87_0,81,5
Train,V\87_1,81,5
Train,V\87_2,81,5
Train,V\87_3,81,5
Train,V\87_4,81,5
Train,V\89_0,448,5
Train,V\90_0,82,5
Train,V\91_0,477,5
Train,V\91_1,481,5
Train,V\92_0,423,5
Train,V\93_0,448,5
Train,V\94_0,370,5
Train,V\95_0,451,5
Train,V\96_0,82,5
Train,V\97_0,81,5
Train,V\97_1,81,5
Train,V\97_2,81,5
Train,V\98_0,47,5
Train,V\98_1,47,5
Train,V\99_0,478,5
Train,V\100_0,415,5
Train,V\101_0,47,5
Train,V\101_1,47,5
Train,V\102_0,81,5
Train,V\103_0,366,5
Train,V\103_1,478,5
Train,V\105_0,477,5
Train,V\106_0,47,5
Train,V\106_1,47,5
Train,V\107_0,418,5
Train,V\107_1,421,5
Train,V\109_0,476,5
Train,V\110_0,420,5
Train,V\110_1,83,5
Train,V\110_2,423,5
Train,V\110_3,423,5
Train,V\111_0,477,5
Train,V\112_0,477,5
Train,V\113_0,477,5
Train,V\114_0,81,5
Train,V\114_1,81,5
Train,V\115_0,448,5
Train,V\115_1,448,5
Train,V\116_0,365,5
Train,V\117_0,476,5
Train,V\117_1,480,5
Train,V\118_0,367,5
Train,V\118_1,368,5
Train,V\118_2,366,5
Train,V\118_3,367,5
Train,V\119_0,46,5
Train,V\120_0,478,5
Train,V\122_0,47,5
Train,V\122_1,47,5
Train,V\122_2,47,5
Train,V\122_3,47,5
Train,V\123_0,46,5
Train,V\124_0,82,5
Train,V\125_0,45,5
Train,V\126_0,82,5
Train,V\127_0,448,5
Train,V\128_0,448,5
Train,V\129_0,448,5
Train,V\130_0,479,5
Train,V\131_0,480,5
Train,V\132_0,477,5
Train,V\133_0,46,5
Train,V\136_0,46,5
Train,V\137_0,423,5
Train,V\137_1,422,5
Train,V\139_0,451,5
Train,V\140_0,370,5
Train,V\140_1,372,5
Train,V\141_0,47,5
Train,V\141_1,47,5
Train,V\143_0,82,5
Train,V\144_0,420,5
Train,V\144_1,420,5
Train,V\144_2,420,5
Train,V\144_3,420,5
Train,V\144_4,420,5
Train,V\146_0,477,5
Train,V\147_0,46,5
Train,V\149_0,370,5
Train,V\150_0,82,5
Train,V\150_1,82,5
Train,V\152_0,451,5
Train,V\153_0,46,5
Train,V\153_1,46,5
Train,V\154_0,46,5
Train,V\155_0,45,5
Test,BG/76,-1,0
Test,BG/77,-1,0
Test,BG/78,-1,0
Test,BG/79,-1,0
Test,BG/80,-1,0
Test,BG/81,-1,0
Test,BG/82,-1,0
Test,BG/83,-1,0
Test,BG/84,-1,0
Test,BG/85,-1,0
Test,BG/86,-1,0
Test,BG/87,-1,0
Test,BG/88,-1,0
Test,BG/89,-1,0
Test,BG/90,-1,0
Test,BG/91,-1,0
Test,BG/92,-1,0
Test,BG/93,-1,0
Test,BG/94,-1,0
Test,BG/95,-1,0
Test,BG/96,-1,0
Test,BG/97,-1,0
Test,BG/98,-1,0
Test,BG/99,-1,0
Test,BG/100,-1,0
Test,D/2_0,301,1
Test,D/6_0,84,1
Test,D/8_0,299,1
Test,D/12_0,454,1
Test,D/14_0,373,1
Test,D/17_0,303,1
Test,D/19_0,454,1
Test,D/23_0,298,1
Test,D/23_1,302,1
Test,D/27_0,483,1
Test,D/33_0,301,1
Test,D/35_0,300,1
Test,D/39_0,231,1
Test,D/40_0,426,1
Test,D/45_0,82,1
Test,D/45_1,82,1
Test,D/48_0,233,1
Test,D/52_0,304,1
Test,D/56_0,218,1
Test,D/56_1,230,1
Test,D/56_2,227,1
Test,D/61_0,246,1
Test,D/62_0,284,1
Test,D/65_0,284,1
Test,D/65_1,290,1
Test,D/70_0,426,1
Test,D/70_1,304,1
Test,D/82_0,234,1
Test,D/82_1,234,1
Test,D/105_0,373,1
Test,D/106_0,373,1
Test,D/111_0,84,1
Test,D/112_0,234,1
Test,D/119_0,237,1
Test,D/121_0,227,1
Test,D/126_0,303,1
Test,D/129_0,252,1
Test,D/129_1,253,1
Test,D/129_2,254,1
Test,D/129_3,255,1
Test,D/138_0,249,1
Test,D/138_1,254,1
Test,D/142_0,294,1
Test,D/145_0,272,1
Test,D/145_1,280,1
Test,D/151_0,217,1
Test,N/76,24,2
Test,N/77,70,2
Test,N/78,82,2
Test,N/79,82,2
Test,N/80,367,2
Test,N/81,78,2
Test,N/82,82,2
Test,N/83,47,2
Test,N/84,46,2
Test,N/85,47,2
Test,N/86,47,2
Test,N/87,448,2
Test,N/88,448,2
Test,N/89,448,2
Test,N/90,233,2
Test,N/91,249,2
Test,N/92,299,2
Test,N/93,300,2
Test,N/94,232,2
Test,N/95,233,2
Test,N/96,232,2
Test,N/97,299,2
Test,N/98,269,2
Test,N/99,233,2
Test,N/100,273,2
Test,P/2_0,308,3
Test,P/12_0,304,3
Test,P/15_0,304,3
Test,P/18_0,311,3
Test,P/18_1,318,3
Test,P/24_0,30,3
Test,P/26_0,31,3
Test,P/26_1,30,3
Test,P/31_0,306,3
Test,P/32_0,306,3
Test,P/49_0,309,3
Test,P/49_1,74,3
Test,P/49_2,318,3
Test,P/49_3,75,3
Test,P/51_0,30,3
Test,P/53_0,306,3
Test,P/58_0,307,3
Test,P/59_0,45,3
Test,P/59_1,43,3
Test,P/75_0,443,3
Test,P/75_1,445,3
Test,P/75_2,448,3
Test,P/75_3,448,3
Test,P/79_0,64,3
Test,P/81_0,313,3
Test,P/81_1,310,3
Test,P/81_2,313,3
Test,P/81_3,316,3
Test,P/82_0,316,3
Test,P/82_1,316,3
Test,P/82_2,313,3
Test,P/82_3,313,3
Test,P/90_0,308,3
Test,P/100_0,313,3
Test,S/4_0,30,4
Test,S/7_0,249,4
Test,S/9_0,454,4
Test,S/14_0,370,4
Test,S/16_0,47,4
Test,S/16_1,43,4
Test,S/19_0,64,4
Test,S/19_1,63,4
Test,S/24_0,64,4
Test,S/24_1,63,4
Test,S/26_0,65,4
Test,S/26_1,64,4
Test,S/29_0,44,4
Test,S/29_1,42,4
Test,S/47_0,64,4
Test,S/49_0,47,4
Test,S/49_1,43,4
Test,S/51_0,24,4
Test,S/51_1,26,4
Test,S/57_0,269,4
Test,S/66_0,35,4
Test,S/68_0,62,4
Test,S/68_1,63,4
Test,S/74_0,47,4
Test,S/76_0,25,4
Test,S/76_1,30,4
Test,S/76_2,35,4
Test,S/76_3,35,4
Test,S/76_4,35,4
Test,S/76_5,35,4
Test,S/76_6,35,4
Test,S/83_0,63,4
Test,S/92_0,63,4
Test,S/99_0,246,4
Test,S/100_0,370,4
Test,S/104_0,30,4
Test,S/111_0,30,4
Test,S/111_1,30,4
Test,S/118_0,35,4
Test,S/121_0,217,4
Test,S/124_0,54,4
Test,S/128_0,25,4
Test,V/2_0,82,5
Test,V/7_0,46,5
Test,V/10_0,370,5
Test,V/11_0,371,5
Test,V/11_1,370,5
Test,V/11_2,372,5
Test,V/11_3,367,5
Test,V/11_4,372,5
Test,V/11_5,84,5
Test,V/17_0,483,5
Test,V/17_1,483,5
Test,V/25_0,424,5
Test,V/25_1,423,5
Test,V/25_2,423,5
Test,V/25_3,422,5
Test,V/37_0,447,5
Test,V/37_1,447,5
Test,V/37_2,447,5
Test,V/37_3,447,5
Test,V/42_0,424,5
Test,V/42_1,423,5
Test,V/42_2,424,5
Test,V/42_3,423,5
Test,V/47_0,483,5
Test,V/47_1,483,5
Test,V/47_2,480,5
Test,V/51_0,477,5
Test,V/51_1,476,5
Test,V/53_0,81,5
Test,V/53_1,81,5
Test,V/53_2,81,5
Test,V/53_3,81,5
Test,V/53_4,81,5
Test,V/56_0,481,5
Test,V/56_1,477,5
Test,V/61_0,46,5
Test,V/67_0,478,5
Test,V/67_1,47,5
Test,V/75_0,82,5
Test,V/75_1,450,5
Test,V/78_0,46,5
Test,V/78_1,46,5
Test,V/78_2,46,5
Test,V/78_3,46,5
Test,V/81_0,476,5
Test,V/81_1,478,5
Test,V/88_0,477,5
Test,V/104_0,478,5
Test,V/108_0,423,5
Test,V/108_1,423,5
Test,V/121_0,371,5
Test,V/134_0,47,5
Test,V/134_1,46,5
Test,V/138_0,82,5
Test,V/138_1,82,5
Test,V/142_0,368,5
Test,V/145_0,47,5
Test,V/148_0,47,5
Test,V/151_0,47,5
Test,V/151_1,47,5
Test,V/156_0,451,5
Test,V/156_1,452,5
